gene	TotalNum	TotalPat	FLNum	FLPat	DHLNum	DHLPat	rank
IGH	455	6	93	6	362	6	1
BCL2	314	6	70	5	244	6	2
IGL	223	6	69	5	154	6	3
IMMP2L	223	6	72	5	151	6	4
FHIT	162	6	70	5	92	5	5
BCL7A	95	6	17	5	78	6	6
DIAPH2	119	6	46	3	73	5	7
BCL6	90	6	18	4	72	6	8
BACH2	70	5	22	3	48	5	9
ROBO2	80	6	36	5	44	5	10
IGK	57	4	15	3	42	4	11
PAX5	45	6	6	3	39	6	12
DMD	86	6	47	4	39	6	13
RHOH	46	5	8	3	38	5	14
GRID2	91	6	54	6	37	5	15
DTX1	39	5	4	2	35	5	16
LPP	69	6	35	6	34	5	17
PTPRD	88	6	60	5	28	6	18
BCL6-SE	35	6	7	2	28	5	19
IRF8	34	5	8	4	26	5	20
ST6GAL1	38	5	13	4	25	5	21
CXCR4	25	4	2	1	23	4	22
BTG2	29	5	6	3	23	5	23
ZCCHC7	29	6	7	4	22	6	24
MYO16	48	6	26	5	22	4	25
S1PR2	26	5	5	2	21	5	26
LHPP	26	5	6	3	20	5	27
NCOA3	28	5	11	3	17	5	28
PIM1	21	4	5	3	16	4	29
SEL1L3	21	5	7	3	14	5	30
FOXO1	25	6	11	4	14	4	31
SGK1	19	5	6	3	13	5	32
OSBPL10	25	6	12	3	13	4	33
MYC	20	5	7	2	13	5	34
BLK	19	5	6	3	13	5	35
PARD3	36	5	24	4	12	4	36
NOL4	24	6	12	5	12	5	37
MIR3681HG	24	6	12	4	12	6	38
KLHL1	32	5	20	4	12	4	39
ETS1	21	5	9	4	12	3	40
DNAH14	38	6	26	4	12	4	41
MIR142	14	5	3	3	11	3	42
MIPOL1	31	6	20	5	11	4	43
TCL1A	13	6	3	3	10	6	44
UHRF2	16	5	7	3	9	4	45
RFTN1	22	6	13	5	9	6	46
NELL2	27	6	18	6	9	4	47
ZBTB7C	21	5	13	4	8	3	48
MCPH1	14	5	6	3	8	4	49
IL4R	14	3	6	2	8	2	50
BIRC3	10	4	2	2	8	4	51
DYNC1I1	19	5	12	5	7	2	52
C12orf40	26	6	19	4	7	6	53
POU2AF1	13	4	7	4	6	3	54
LTB	7	4	1	1	6	3	55
BTG1	8	3	3	2	5	2	56
BMP7	11	4	6	2	5	3	57
