cytoband	9p13.2	12q15	1q23.1	6p22.2	2p16.1	4q31.3	11p15.4	17q25.1	12p12.1	1q44	2q22.1	6q25.3	7p12.2	7p21.3	10p15.3	
q value	1.3052e-07	9.9666e-05	0.00017039	0.00056742	0.00066738	0.00071531	0.0033806	0.0045138	0.0046875	0.0062844	0.0079837	0.0079837	0.0079837	0.0079837	0.0079837	
residual q value	1.3052e-07	9.9666e-05	0.00017039	0.00056742	0.00066738	0.00071531	0.0033806	0.0045138	0.0046875	0.0062844	0.0079837	0.0079837	0.0079837	0.0079837	0.0079837	
wide peak boundaries	chr9:37005357-37424720	chr12:68739806-68847944	chr1:157763006-157842246	chr6:26098743-26295188	chr2:60294884-61832351	chr4:153351017-153646306	chr11:9566250-9790144	chr17:75224963-75480456	chr12:24892493-25123086	chr1:244826993-244980194	chr2:135898966-136433380	chr6:158699237-159199877	chr7:50084391-50472954	chr7:7586085-8165871	chr10:1-1087978	
genes in wide peak	PAX5	MDM2	CD5L	HIST1H1D	PEX13	KIAA0922	WEE1	GRB2	BCAT1	HNRNPU	DARS	EZR	DDC	ICA1	IDI1	
	GRHPR	SLC35E3	FCRL2	HIST1H1E	REL	MND1	SWAP70	TMEM94	LRMP	EFCAB2	CXCR4	RSPH3	IKZF1	RPA3	ZMYND11	
	ZCCHC7	NUP107	FCRL1	HIST1H1T	XPO1	LOC100419170	SBF2	GGA3	CASC1	COX20	DARS-AS1	FNDC1	ZPBP	MIOS	WDR37	
	EBLN3P	LOC100130075		HIST1H2AE	USP34		SBF2-AS1	MRPS7	C12orf77	LOC101928068		SYTL3	FIGNL1	GLCCI1	DIP2C	
				HIST1H2AD	BCL11A		LOC440028	MIF4GD	LOC645177	SNORA100		TAGAP	C7orf72	UMAD1	LARP4B	
				HIST1H2BD	PAPOLG			SLC25A19				OSTCP1		LOC100505921	GTPBP4	
				HIST1H2AC	FAM161A			NUP85				C6orf99			IDI2-AS1	
				HIST1H2BG	KIAA1841			LOC100287042				MIR3918			IDI2	
				HIST1H2BF	AHSA2			MIR3678				EZR-AS1			TUBB8	
				HIST1H2BE	PUS10							LOC101929122			PRR26	
				HIST1H2BH	LOC339803										MIR5699	
				HIST1H2BI	C2orf74										LOC101927762	
				HIST1H2BC	LINC01185										MIR7641-2	
				HIST1H3D	SNORA70B										LOC102723376	
				HIST1H3E	MIR4432											
				HIST1H3G	MIR4432HG											
				HIST1H4D												
				HIST1H4F												
				HIST1H4C												
				HIST1H4H												
				HIST1H4E												
				HIST1H4G												
				HIST1H3F												
