patient	chr	position	Locus	Target	Tumor	Min_CpG	Min_CGC	Min_WRCH	Min_WRCY	Min_WGCW
P1	chr18	63126317	BCL2	IgH	Both	0	1	4	4	41
P2	chr18	63126264	BCL2	IgH	Both	2	2	4	4	4
P3	chr18	63120800	BCL2	IgH	Both	0	10	5	5	3
P4	chr18	63126276	BCL2	IgH	Both	1	14	0	8	0
P5	chr18	63126319	BCL2	IgH	Both	0	0	6	6	43
P6	chr18	63097227	BCL2	IgH	Both	0	0	6	9	6
P7	chr18	63126223	BCL2	IgH	Both	1	11	4	4	25
P8	chr18	63126262	BCL2	IgH	Both	0	0	6	6	6
P9	chr18	63126262	BCL2	IgH	Both	0	0	6	6	6
P1	chr14	105603086	IgH	MYC	DHL	0	50	1	1	6
P2	chr14	105591340	IgH	MYC	DHL	2	357	5	5	30
P3	chr14	105861041	IgH	MYC	Both	0	3	2	2	28
P4	chr8	128086077	MYC	IRAG2	Both	5	470	4	19	4
P5	chr8	129883571	CYRIB	MYC	DHL	8	165	1	1	11
P6	chr14	105603386	IgH	MYC	DHL	1	158	0	0	4
P7	chr3	188267009	LPP	MYC	DHL	0	81	1	1	1
P8	chr8	127769053	MYC	IgL	DHL	1	42	4	4	4
P9	chr8	128109219	MYC	LPP	DHL	1	1	8	8	28
P1	chr8	127737152	MYC	IgH	DHL	1	1	26	26	72
P2	chr8	127736514	MYC	IgH	DHL	2	9	1	1	31
P3	chr8	127737075	MYC	IgH	Both	0	11	13	13	65
P4	chr12	25035547	IRAG2	MYC	Both	27	158	4	4	30
P5	chr8	127728571	MYC	CYRIB	DHL	4	500	1	1	3
P6	chr8	127736757	MYC	IgH	DHL	6	31	0	0	68
P7	chr8	127734575	MYC	LPP	DHL	3	49	6	6	6
P8	chr22	22918171	IgL	MYC	DHL	1	260	1	6	24
P9	chr3	187943149	LPP	MYC	DHL	5	73	3	3	8
P1	chr14	105863862	IgH	BCL2	Both	8	51	0	0	7
P2	chr14	105864257	IgH	BCL2	Both	13	111	3	3	36
P3	chr14	105863255	IgH	BCL2	Both	12	74	0	0	19
P4	chr14	105863860	IgH	BCL2	Both	6	53	2	2	5
P5	chr14	105864257	IgH	BCL2	Both	13	111	3	3	36
P6	chr14	105863855	IgH	BCL2	Both	1	58	3	3	0
P7	chr14	105863240	IgH	BCL2	Both	5	89	3	6	4
P8	chr14	105864248	IgH	BCL2	Both	4	102	3	3	45
P9	chr14	105863255	IgH	BCL2	Both	12	74	0	0	19
